CODIGO_PROYECTO,PROGRAMA,INSTRUMENTO,ANO_FALLO,AREA_OCDE,SEXO
D01I1164,FONDEF,INVESTIGACION Y DESARROLLO,2001,CIENCIAS AGRICOLAS,HOMBRE
D01I1165,FONDEF,INVESTIGACION Y DESARROLLO,2001,CIENCIAS NATURALES,HOMBRE
1010939,FONDECYT,REGULAR,2001,INGENIERIA Y TECNOLOGIA,HOMBRE
1010723,FONDECYT,REGULAR,2001,INGENIERIA Y TECNOLOGIA,HOMBRE
R01I1003,REGIONAL,CREACION CENTROS REGIONALES,2001,CIENCIAS NATURALES,HOMBRE
D01I1163,FONDEF,INVESTIGACION Y DESARROLLO,2001,CIENCIAS AGRICOLAS,HOMBRE
1010942,FONDECYT,REGULAR,2001,INGENIERIA Y TECNOLOGIA,HOMBRE
ED6/01/060,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2001,SIN INFORMACION,SIN INFORMACION
1020721,FONDECYT,REGULAR,2002,INGENIERIA Y TECNOLOGIA,HOMBRE
ED7/02/037,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2002,SIN INFORMACION,HOMBRE
1030436,FONDECYT,REGULAR,2003,INGENIERIA Y TECNOLOGIA,HOMBRE
1030454,FONDECYT,REGULAR,2003,INGENIERIA Y TECNOLOGIA,HOMBRE
EC4/03/073,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2003,CIENCIAS NATURALES,MUJER
D03T2023,FONDEF,INVESTIGACION Y DESARROLLO EN TRANSFERENCIAS TECNOLOGICAS SEGUNDA ETAPA,2003,CIENCIAS NATURALES,HOMBRE
EE6/03/021,EXPLORA,APOYO A LA REALIZACION DE EVENTOS DE DIVULGACION Y VALORACION DE LA C. Y T.,2003,CIENCIAS NATURALES,MUJER
EC4/03/066,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2003,CIENCIAS NATURALES,MUJER
R04I1004,REGIONAL,CREACION CENTROS REGIONALES,2004,CIENCIAS NATURALES,HOMBRE
C04H01,PCI,MOVILIDAD - PROGRAMA DE COOPERACION CIENTIFICA ECOS/CONICYT,2004,SIN INFORMACION,HOMBRE
CET03,PROGRAMA BICENTENARIO DE CIENCIA Y TECNOLOGIA,CAMPAMENTOS DE EMPRENDIMIENTO TECNOLOGICO,2004,CIENCIAS NATURALES,HOMBRE
1040611,FONDECYT,REGULAR,2004,INGENIERIA Y TECNOLOGIA,HOMBRE
ER4/03/012,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2004,MULTIDISCIPLINARIO,MUJER
ECT1/04/04,EXPLORA,CAMPAMENTOS DE EMPRENDIMIENTO TECNOLOGICO PARA LA DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2004,CIENCIAS NATURALES,MUJER
D04I1420,FONDEF,INVESTIGACION Y DESARROLLO,2004,CIENCIAS NATURALES,HOMBRE
7040108,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,2004,CIENCIAS NATURALES,HOMBRE
1040204,FONDECYT,REGULAR,2004,CIENCIAS NATURALES,HOMBRE
EE7/04/018,EXPLORA,APOYO A LA REALIZACION DE EVENTOS DE DIVULGACION Y VALORACION DE LA C. Y T.,2004,CIENCIAS NATURALES,MUJER
ED10/063,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2005,CIENCIAS NATURALES,HOMBRE
1050592,FONDECYT,REGULAR,2005,INGENIERIA Y TECNOLOGIA,HOMBRE
ER5/04/012,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2005,MULTIDISCIPLINARIO,MUJER
1050139,FONDECYT,REGULAR,2005,CIENCIAS SOCIALES,HOMBRE
SIN INFORMACION,INFORMACION CIENTIFICA,FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS,2005,SIN INFORMACION,SIN INFORMACION
11060077,FONDECYT,INICIACION,2006,CIENCIAS NATURALES,HOMBRE
R06F1007,REGIONAL,FORTALECIMIENTO,2006,CIENCIAS NATURALES,HOMBRE
ER6/011,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2006,MULTIDISCIPLINARIO,MUJER
11060001,FONDECYT,INICIACION,2006,CIENCIAS SOCIALES,MUJER
7060304,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,2006,CIENCIAS SOCIALES,MUJER
1060020,FONDECYT,REGULAR,2006,CIENCIAS SOCIALES,MUJER
1060498,FONDECYT,REGULAR,2006,INGENIERIA Y TECNOLOGIA,HOMBRE
1060776,FONDECYT,REGULAR,2006,INGENIERIA Y TECNOLOGIA,HOMBRE
ER6/012,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2006,MULTIDISCIPLINARIO,MUJER
SIN INFORMACION2,INFORMACION CIENTIFICA,FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS,2006,SIN INFORMACION,HOMBRE
R06F1003,REGIONAL,FORTALECIMIENTO,2006,CIENCIAS NATURALES,MUJER
1060500,FONDECYT,REGULAR,2006,INGENIERIA Y TECNOLOGIA,HOMBRE
EC7/088,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2007,CIENCIAS NATURALES,HOMBRE
EC7/092,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2007,CIENCIAS NATURALES,MUJER
3070050,FONDECYT,POSTDOCTORADO,2007,CIENCIAS NATURALES,HOMBRE
ER7/011,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2007,MULTIDISCIPLINARIO,HOMBRE
PDA10,PROGRAMA BICENTENARIO DE CIENCIA Y TECNOLOGIA,INSERCION DE INVESTIGADORES POSTDOCTORALES EN LA ACADEMIA,2007,CIENCIAS NATURALES,HOMBRE
11075105,FONDECYT,INICIACION,2007,CIENCIAS NATURALES,HOMBRE
1070713,FONDECYT,REGULAR,2007,CIENCIAS NATURALES,HOMBRE
R07E1002,REGIONAL,EQUIPAMIENTO,2007,CIENCIAS NATURALES,HOMBRE
1071136,FONDECYT,REGULAR,2007,INGENIERIA Y TECNOLOGIA,HOMBRE
7070071,FONDECYT,INCENTIVO A LA COOPERACION INTERNACIONAL,2007,CIENCIAS SOCIALES,MUJER
11070059,FONDECYT,INICIACION,2007,INGENIERIA Y TECNOLOGIA,HOMBRE
